dataset,model_label,protocol,split,metric,mae,rmse,units,source_file,notes
alloy_MoNbTaVW,MACE-lr1e-3-fair200,lr=0.001 fair200 default loss,train,energy,25.497397485975824,85.95002426582433,meV/atom,repo/coursework/new_datasets/alloy/mace_retrain_lr0p001_fair200_quick3h_20260509/eval_train.json,
alloy_MoNbTaVW,MACE-lr1e-3-fair200,lr=0.001 fair200 default loss,train,forces,56.698259417581035,82.42569576720626,meV/Å,repo/coursework/new_datasets/alloy/mace_retrain_lr0p001_fair200_quick3h_20260509/eval_train.json,
alloy_MoNbTaVW,MACE-lr1e-3-fair200,lr=0.001 fair200 default loss,valid,energy,27.52323390372057,86.40110798935581,meV/atom,repo/coursework/new_datasets/alloy/mace_retrain_lr0p001_fair200_quick3h_20260509/eval_valid.json,
alloy_MoNbTaVW,MACE-lr1e-3-fair200,lr=0.001 fair200 default loss,valid,forces,62.0756620394977,113.74663038919498,meV/Å,repo/coursework/new_datasets/alloy/mace_retrain_lr0p001_fair200_quick3h_20260509/eval_valid.json,
alloy_MoNbTaVW,MACE-EW10,energy_weight=10 forces_weight=100 normal,train,energy,10.822721475091795,36.42060934255313,meV/atom,repo/coursework/new_datasets/alloy/mace_ablation_normal_ew10_ew50_20260509/full_ew10_normal/eval_train.json,
alloy_MoNbTaVW,MACE-EW10,energy_weight=10 forces_weight=100 normal,train,forces,56.768055361742654,82.40716263669628,meV/Å,repo/coursework/new_datasets/alloy/mace_ablation_normal_ew10_ew50_20260509/full_ew10_normal/eval_train.json,
alloy_MoNbTaVW,MACE-EW10,energy_weight=10 forces_weight=100 normal,valid,energy,12.436830466139606,39.34197947634347,meV/atom,repo/coursework/new_datasets/alloy/mace_ablation_normal_ew10_ew50_20260509/full_ew10_normal/eval_valid.json,
alloy_MoNbTaVW,MACE-EW10,energy_weight=10 forces_weight=100 normal,valid,forces,62.212968681644284,113.78785800366062,meV/Å,repo/coursework/new_datasets/alloy/mace_ablation_normal_ew10_ew50_20260509/full_ew10_normal/eval_valid.json,
alloy_MoNbTaVW,MACE-EW50,energy_weight=50 forces_weight=100 normal,train,energy,10.915284235825695,27.497955746265678,meV/atom,repo/coursework/new_datasets/alloy/mace_ablation_normal_ew10_ew50_20260509/full_ew50_normal/eval_train.json,
alloy_MoNbTaVW,MACE-EW50,energy_weight=50 forces_weight=100 normal,train,forces,57.60957883480557,84.24086871047587,meV/Å,repo/coursework/new_datasets/alloy/mace_ablation_normal_ew10_ew50_20260509/full_ew50_normal/eval_train.json,
alloy_MoNbTaVW,MACE-EW50,energy_weight=50 forces_weight=100 normal,valid,energy,11.867850551503924,32.623201692084685,meV/atom,repo/coursework/new_datasets/alloy/mace_ablation_normal_ew10_ew50_20260509/full_ew50_normal/eval_valid.json,
alloy_MoNbTaVW,MACE-EW50,energy_weight=50 forces_weight=100 normal,valid,forces,62.86696164088902,113.89976584924635,meV/Å,repo/coursework/new_datasets/alloy/mace_ablation_normal_ew10_ew50_20260509/full_ew50_normal/eval_valid.json,
alloy_MoNbTaVW,MatterSim,fine-tuned reference,valid,energy,6.846,28.924,meV/atom,for_gpt/metrics/05_new_datasets_summary.md,manual expected copied from project summary
alloy_MoNbTaVW,MatterSim,fine-tuned reference,valid,forces,54.749,116.898,meV/Å,for_gpt/metrics/05_new_datasets_summary.md,manual expected copied from project summary
alloy_MoNbTaVW,MTP-20,from-scratch reference,valid,energy,12.938,39.637,meV/atom,for_gpt/metrics/05_new_datasets_summary.md,manual expected copied from project summary
alloy_MoNbTaVW,MTP-20,from-scratch reference,valid,forces,94.46,146.763,meV/Å,for_gpt/metrics/05_new_datasets_summary.md,manual expected copied from project summary
